Time, Altitude, Velocity, Temperature (C), Voltage
0,-1,0,23.54,9.4
0.05,-1,0,23.54,9.4
0.1,-1,4,23.54,9.4
0.15,-1,4,23.55,9.4
0.2,0,8,23.54,9.4
0.25,0,12,23.54,9.4
0.3,1,17,23.54,9.4
0.35,2,24,23.54,9.4
0.4,1,31,23.54,9.4
0.45,5,36,23.54,9.4
0.5,12,41,23.54,9.4
0.55,8,47,23.54,9.4
0.6,13,55,23.54,9.4
0.65,10,64,23.54,9.4
0.7,22,78,23.54,9.4
0.75,22,93,23.54,9.4
0.8,30,110,23.54,9.4
0.85,33,127,23.54,9.4
0.9,41,144,23.54,9.4
0.95,51,160,23.54,9.4
1,60,175,23.54,9.4
1.05,69,190,23.55,9.4
1.1,78,203,23.54,9.4
1.15,90,220,23.53,9.4
1.2,100,240,23.54,9.4
1.25,113,263,23.53,9.4
1.3,127,288,23.54,9.4
1.35,143,313,23.53,9.4
1.4,163,335,23.52,9.4
1.45,179,355,23.52,9.4
1.5,197,371,23.52,9.4
1.55,218,382,23.51,9.4
1.6,238,390,23.51,9.4
1.65,256,393,23.5,9.4
1.7,280,390,23.5,9.4
1.75,298,381,23.5,9.4
1.8,316,366,23.5,9.4
1.85,335,345,23.5,9.4
1.9,351,322,23.5,9.4
1.95,367,300,23.51,9.4
2,378,281,23.51,9.4
2.05,390,270,23.52,9.4
2.1,402,268,23.53,9.4
2.15,416,275,23.54,9.4
2.2,430,291,23.55,9.4
2.25,444,314,23.55,9.4
2.3,459,342,23.55,9.4
2.35,481,371,23.55,9.4
2.4,502,399,23.55,9.4
2.45,521,424,23.56,9.4
2.5,544,444,23.55,9.4
2.55,571,459,23.56,9.4
2.6,593,475,23.55,9.4
2.65,614,488,23.57,9.4
2.7,641,502,23.56,9.4
2.75,668,518,23.56,9.4
2.8,693,534,23.56,9.4
2.85,723,552,23.56,9.4
2.9,749,576,23.56,9.4
2.95,777,607,23.55,9.4
3,808,642,23.55,9.4
3.05,843,680,23.55,9.4
3.1,881,710,23.54,9.4
3.15,920,723,23.53,9.4
3.2,961,713,23.52,9.4
3.25,998,677,23.5,9.4
3.3,1031,616,23.5,9.4
3.35,1060,539,23.5,9.4
