Time, Altitude, Velocity, Temperature (C), Voltage
3.4,1079,458,23.5,9.4
3.45,1097,383,23.5,9.4
3.5,1111,323,23.51,9.4
3.55,1121,286,23.52,9.4
3.6,1131,272,23.53,9.4
3.65,1142,280,23.54,9.4
3.7,1158,302,23.54,9.4
3.75,1176,329,23.55,9.4
3.8,1194,356,23.55,9.4
3.85,1215,376,23.55,9.4
3.9,1235,390,23.56,9.4
3.95,1256,399,23.56,9.4
4,1273,407,23.56,9.4
4.05,1294,417,23.55,9.4
4.1,1316,427,23.55,9.4
4.15,1339,439,23.55,9.4
4.2,1361,452,23.56,9.4
4.25,1384,469,23.55,9.4
4.3,1407,493,23.55,9.4
4.35,1431,527,23.55,9.4
4.4,1456,568,23.55,9.4
4.45,1489,610,23.55,9.4
4.5,1525,644,23.54,9.4
4.55,1563,661,23.52,9.4
4.6,1597,656,23.51,9.4
4.65,1631,628,23.51,9.4
4.7,1662,582,23.5,9.4
4.75,1689,523,23.5,9.4
4.8,1710,458,23.5,9.4
4.85,1730,392,23.5,9.4
4.9,1746,330,23.5,9.4
4.95,1760,277,23.5,9.4
5,1767,239,23.51,9.4
5.05,1775,217,23.52,9.4
5.1,1785,214,23.52,9.4
5.15,1793,227,23.53,9.4
5.2,1805,251,23.54,9.4
5.25,1822,278,23.54,9.4
5.3,1838,304,23.55,9.4
5.35,1854,324,23.55,9.4
5.4,1871,339,23.55,9.4
5.45,1890,349,23.55,9.4
5.5,1908,356,23.55,9.4
5.55,1926,361,23.55,9.4
5.6,1943,366,23.55,9.4
5.65,1961,370,23.55,9.4
5.7,1982,374,23.54,9.4
5.75,2001,380,23.55,9.4
5.8,2019,389,23.55,9.4
5.85,2037,405,23.55,9.4
5.9,2057,431,23.55,9.4
5.95,2079,466,23.54,9.4
6,2105,505,23.54,9.4
6.05,2132,544,23.54,9.4
6.1,2164,576,23.54,9.4
6.15,2196,593,23.52,9.4
6.2,2228,593,23.52,9.4
6.25,2259,574,23.5,9.4
6.3,2287,537,23.5,9.4
6.35,2314,486,23.49,9.4
6.4,2335,427,23.49,9.4
6.45,2352,365,23.49,9.4
6.5,2366,305,23.49,9.4
6.55,2378,252,23.5,9.4
6.6,2388,208,23.5,9.4
6.65,2394,176,23.5,9.4
6.7,2401,159,23.52,9.4
6.75,2406,156,23.52,9.4
6.8,2412,165,23.53,9.4
6.85,2421,184,23.54,9.4
6.9,2433,205,23.55,9.4
6.95,2446,226,23.54,9.4
7,2458,243,23.55,9.4
7.05,2471,257,23.55,9.4
7.1,2484,267,23.55,9.4
7.15,2497,276,23.55,9.4
7.2,2513,283,23.55,9.4
7.25,2528,288,23.55,9.4
7.3,2542,292,23.55,9.4
7.35,2556,295,23.55,9.4
7.4,2571,298,23.55,9.4
7.45,2587,300,23.55,9.4
7.5,2602,301,23.55,9.4
7.55,2617,303,23.55,9.4
7.6,2632,305,23.55,9.4
7.65,2647,311,23.55,9.4
7.7,2662,323,23.55,9.4
7.75,2678,341,23.55,9.4
7.8,2695,365,23.55,9.4
7.85,2715,395,23.55,9.4
7.9,2736,427,23.55,9.4
7.95,2760,458,23.54,9.4
8,2785,484,23.53,9.4
8.05,2811,502,23.52,9.4
8.1,2839,507,23.52,9.4
8.15,2866,500,23.51,9.4
8.2,2891,481,23.5,9.4
8.25,2914,451,23.5,9.4
8.3,2936,413,23.5,9.4
8.35,2953,372,23.5,9.4
8.4,2970,327,23.49,9.4
8.45,2985,282,23.49,9.4
8.5,2996,239,23.49,9.4
8.55,3006,199,23.49,9.4
8.6,3012,164,23.49,9.4
8.65,3018,135,23.5,9.4
8.7,3024,112,23.5,9.4
8.75,3028,98,23.5,9.4
8.8,3030,93,23.52,9.4
8.85,3034,95,23.52,9.4
8.9,3040,105,23.52,9.4
8.95,3044,120,23.54,9.4
9,3052,138,23.54,9.4
9.05,3060,155,23.54,9.4
9.1,3069,171,23.55,9.4
9.15,3079,183,23.54,9.4
9.2,3088,191,23.55,9.4
9.25,3099,196,23.55,9.4
9.3,3109,199,23.54,9.4
9.35,3119,200,23.55,9.4
9.4,3129,200,23.55,9.4
9.45,3139,201,23.55,9.4
9.5,3148,203,23.55,9.4
9.55,3159,206,23.55,9.4
9.6,3169,209,23.55,9.4
9.65,3181,212,23.55,9.4
9.7,3191,215,23.55,9.4
9.75,3202,216,23.55,9.4
9.8,3213,216,23.55,9.4
9.85,3223,216,23.55,9.4
9.9,3235,215,23.55,9.4
9.95,3245,216,23.55,9.4
10,3256,216,23.55,9.4
10.05,3267,219,23.55,9.4
10.1,3276,224,23.55,9.4
10.15,3289,233,23.55,9.4
10.2,3300,246,23.55,9.4
10.25,3312,262,23.55,9.4
10.3,3327,280,23.55,9.4
10.35,3342,299,23.54,9.4
10.4,3358,318,23.55,9.4
10.45,3375,334,23.54,9.4
10.5,3393,347,23.54,9.4
10.55,3411,357,23.54,9.4
10.6,3430,362,23.52,9.4
10.65,3448,362,23.51,9.4
10.7,3468,358,23.51,9.4
10.75,3485,349,23.5,9.4
10.8,3502,336,23.5,9.4
10.85,3518,322,23.5,9.4
10.9,3533,306,23.49,9.4
10.95,3548,287,23.5,9.4
11,3562,266,23.49,9.4
11.05,3575,242,23.49,9.4
11.1,3586,217,23.49,9.4
11.15,3594,192,23.49,9.4
11.2,3601,168,23.49,9.4
11.25,3611,145,23.49,9.4
11.3,3616,124,23.48,9.4
11.35,3620,105,23.49,9.4
11.4,3625,87,23.49,9.4
11.45,3629,71,23.49,9.4
11.5,3631,57,23.49,9.4
11.55,3632,46,23.5,9.4
11.6,3634,38,23.5,9.4
11.65,3636,33,23.5,9.4
11.7,3637,30,23.51,9.4
11.75,3638,31,23.52,9.4
11.8,3639,34,23.52,9.4
11.85,3641,41,23.52,9.4
11.9,3643,49,23.54,9.4
11.95,3647,59,23.53,9.4
12,3649,70,23.54,9.4
12.05,3654,80,23.54,9.4
12.1,3659,89,23.54,9.4
12.15,3664,96,23.54,9.4
12.2,3669,100,23.54,9.4
12.25,3674,103,23.55,9.4
12.3,3681,104,23.54,9.4
12.35,3684,104,23.55,9.4
12.4,3690,104,23.55,9.4
12.45,3695,104,23.55,9.4
12.5,3701,105,23.55,9.4
12.55,3705,105,23.55,9.4
12.6,3711,105,23.55,9.4
12.65,3717,104,23.54,9.4
12.7,3722,103,23.55,9.4
12.75,3726,102,23.55,9.4
12.8,3731,103,23.55,9.4
12.85,3736,104,23.55,9.4
12.9,3742,106,23.55,9.4
12.95,3748,107,23.55,9.4
13,3753,107,23.55,9.4
13.05,3758,106,23.55,9.4
13.1,3763,104,23.55,9.4
13.15,3769,103,23.55,9.4
13.2,3774,101,23.55,9.4
13.25,3778,101,23.55,9.4
13.3,3783,101,23.55,9.4
13.35,3789,101,23.55,9.4
13.4,3793,101,23.55,9.4
13.45,3799,101,23.55,9.4
13.5,3804,100,23.55,9.4
13.55,3809,98,23.55,9.4
13.6,3813,96,23.55,9.4
13.65,3818,93,23.55,9.4
13.7,3823,92,23.55,9.4
13.75,3828,90,23.55,9.4
13.8,3831,90,23.55,9.4
13.85,3835,93,23.55,9.4
13.9,3840,96,23.55,9.4
13.95,3847,101,23.55,9.4
14,3850,109,23.55,9.4
14.05,3855,118,23.55,9.4
14.1,3863,128,23.55,9.4
14.15,3869,138,23.55,9.4
14.2,3877,148,23.55,9.4
14.25,3886,156,23.54,9.4
14.3,3893,164,23.53,9.4
14.35,3902,170,23.54,9.4
14.4,3910,177,23.54,9.4
14.45,3919,183,23.53,9.4
14.5,3930,188,23.52,9.4
14.55,3940,192,23.52,9.4
14.6,3949,194,23.52,9.4
14.65,3959,195,23.51,9.4
14.7,3969,195,23.5,9.4
14.75,3978,197,23.5,9.4
14.8,3988,199,23.5,9.4
14.85,3998,201,23.5,9.4
14.9,4009,203,23.49,9.4
14.95,4019,202,23.48,9.4
15,4031,200,23.49,9.4
15.05,4038,195,23.48,9.4
15.1,4049,188,23.48,9.4
15.15,4059,180,23.47,9.4
15.2,4066,171,23.47,9.4
15.25,4076,160,23.46,9.4
15.3,4081,149,23.45,9.4
15.35,4090,137,23.45,9.4
15.4,4096,125,23.45,9.4
15.45,4101,112,23.45,9.4
15.5,4106,99,23.45,9.4
15.55,4110,86,23.45,9.4
15.6,4115,74,23.44,9.4
15.65,4117,60,23.44,9.4
15.7,4120,47,23.44,9.4
15.75,4120,34,23.45,9.4
15.8,4123,21,23.44,9.4
15.85,4123,9,23.45,9.4
15.9,4122,-2,23.45,9.4
15.95,4121,-13,23.44,9.4
16,4121,-22,23.44,9.4
16.05,4119,-31,23.45,9.4
16.1,4117,-39,23.45,9.4
16.15,4114,-46,23.45,9.4
16.2,4111,-52,23.45,9.4
16.25,4109,-58,23.45,9.4
16.3,4106,-63,23.45,9.4
16.35,4103,-67,23.45,9.4
16.4,4097,-71,23.47,9.4
16.45,4095,-75,23.46,9.4
16.5,4090,-79,23.47,9.4
16.55,4088,-84,23.47,9.4
16.6,4083,-90,23.47,9.4
16.65,4077,-95,23.47,9.4
16.7,4072,-101,23.49,9.4
16.75,4067,-106,23.49,9.4
16.8,4062,-109,23.49,9.4
16.85,4056,-112,23.5,9.4
16.9,4049,-113,23.5,9.4
16.95,4045,-113,23.5,9.4
17,4037,-110,23.5,9.4
17.05,4033,-104,23.51,9.4
17.1,4028,-95,23.52,9.4
17.15,4023,-83,23.52,9.4
17.2,4019,-69,23.52,9.4
17.25,4015,-54,23.52,9.4
17.3,4015,-41,23.52,9.4
17.35,4016,-34,23.52,9.4
17.4,4014,-35,23.53,9.4
17.45,4013,-44,23.54,9.4
17.5,4011,-56,23.54,9.4
17.55,4007,-68,23.54,9.4
17.6,4000,-75,23.54,9.4
17.65,3993,-78,23.54,9.4
17.7,3994,-75,23.54,9.4
17.75,3991,-68,23.54,9.4
17.8,3985,-59,23.54,9.4
17.85,3981,-45,23.54,9.4
17.9,3981,-28,23.54,9.4
17.95,3982,-9,23.54,9.4
18,3980,10,23.54,9.4
18.05,3977,23,23.55,9.4
18.1,3993,24,23.54,9.4
18.15,3992,17,23.54,9.4
18.2,3987,1,23.54,9.4
18.25,3987,-22,23.54,9.4
18.3,3987,-41,23.54,9.4
18.35,3979,-62,23.54,9.4
18.4,3980,-88,23.54,9.4
18.45,3975,-118,23.54,9.4
18.5,3967,-159,23.54,9.4
18.55,3960,-212,23.54,9.4
18.6,3947,-265,23.54,9.4
18.65,3928,-311,23.54,9.4
18.7,3906,-339,23.54,9.4
18.75,3885,-339,23.54,9.4
18.8,3862,-309,23.54,9.4
18.85,3851,-254,23.54,9.4
18.9,3842,-178,23.54,9.4
18.95,3837,-85,23.54,9.4
19,3836,19,23.54,9.4
19.05,3840,136,23.54,9.4
19.1,3850,253,23.54,9.4
19.15,3870,393,23.54,9.4
19.2,3903,567,23.54,9.4
19.25,3934,779,23.54,9.4
19.3,3975,1040,23.53,9.4
19.35,1791,1302,23.29,9.3
19.4,4142,1497,23.62,9.4
19.45,4260,1589,23.67,9.4
19.5,4352,1557,23.76,9.4
19.55,4396,1392,23.89,9.4
19.6,4458,1170,24.02,9.4
19.65,4488,927,24.19,9.4
19.7,4551,677,24.29,9.4
19.75,4571,457,24.42,9.4
19.8,4560,263,24.54,9.4
19.85,4565,95,24.65,9.4
19.9,4566,-23,24.76,9.4
19.95,4542,-120,24.86,9.4
20,4535,-231,24.94,9.4
20.05,4532,-393,25.02,9.4
20.1,3915,-655,25.49,9.4
20.15,3906,-986,25.52,9.4
20.2,4391,-1334,25.22,9.4
20.25,4312,-1629,25.28,9.4
20.3,4188,-1781,25.36,9.4
20.35,4071,-1744,25.44,9.4
20.4,3990,-1544,25.49,9.4
20.45,3902,-1213,25.54,9.4
20.5,3872,-830,25.54,9.4
20.55,3872,-479,25.54,9.4
20.6,3894,-188,25.52,9.4
20.65,3887,262,25.5,9.4
20.7,3891,588,25.49,9.4
20.75,3908,815,25.47,9.4
20.8,3932,970,25.45,9.4
20.85,3939,573,25.44,9.4
20.9,3960,213,25.39,9.4
20.95,3992,-105,25.35,9.4
21,4028,-391,25.32,9.4
21.05,4069,-387,25.26,9.4
21.1,4114,-380,25.2,9.4
21.15,4195,-363,25.12,9.4
21.2,4287,-330,25.03,9.4
21.25,4389,-283,24.96,9.4
21.3,4420,-222,24.94,9.4
21.35,4330,-151,25.02,9.4
21.4,4150,-74,25.12,9.4
21.45,4017,1,25.21,9.4
21.5,3927,67,25.26,9.4
21.55,3871,114,25.27,9.4
21.6,3835,136,25.26,9.4
21.65,3798,134,25.25,9.4
21.7,3758,111,25.23,9.4
21.75,3740,75,25.23,9.4
21.8,3752,37,25.22,9.4
21.85,3779,3,25.21,9.4
21.9,3796,-27,25.2,9.4
21.95,3790,-53,25.19,9.4
22,3780,-83,25.18,9.4
22.05,3763,-122,25.17,9.4
22.1,3744,-172,25.17,9.4
22.15,3730,-231,25.15,9.4
22.2,3725,-288,25.15,9.4
22.25,3731,-326,25.13,9.4
22.3,3763,-330,25.12,9.4
22.35,3822,-289,25.07,9.4
22.4,3933,-206,24.98,9.4
22.45,4055,-98,24.88,9.4
22.5,4187,12,24.78,9.4
22.55,4210,99,24.76,9.4
22.6,4222,151,24.71,9.4
22.65,4133,163,24.77,9.4
22.7,4065,143,24.81,9.4
22.75,3970,106,24.88,9.4
22.8,3922,63,24.92,9.4
22.85,3886,26,24.95,9.4
22.9,3906,-1,24.96,9.4
22.95,3898,-21,24.99,9.4
23,3864,-34,25,9.4
23.05,3814,-43,25.02,9.4
23.1,3761,-51,25.03,9.4
23.15,3707,-61,25.03,9.4
23.2,3649,-72,25.03,9.4
23.25,3608,-83,25.03,9.4
23.3,3621,-87,25.02,9.4
23.35,3690,-78,25,9.4
23.4,3825,-55,24.94,9.4
23.45,4017,-27,24.79,9.4
23.5,4178,-5,24.65,9.4
23.55,4276,0,24.55,9.4
23.6,4209,-16,24.57,9.4
23.65,4058,-42,24.65,9.4
23.7,3948,-67,24.74,9.4
23.75,3852,-86,24.82,9.4
23.8,3793,-96,24.86,9.4
23.85,3774,-102,24.9,9.4
23.9,3737,-105,24.91,9.4
23.95,3703,-106,24.93,9.4
24,3671,-101,24.94,9.4
24.05,3648,-90,24.95,9.4
24.1,3626,-74,24.96,9.4
24.15,3598,-58,24.95,9.4
24.2,3564,-50,24.95,9.4
24.25,3547,-57,24.93,9.4
24.3,3610,-84,24.9,9.4
24.35,3776,-130,24.81,9.4
24.4,4026,-186,24.67,9.4
24.45,4249,-236,24.54,9.4
24.5,4334,-261,24.44,9.4
24.55,4188,-254,24.5,9.4
24.6,4037,-214,24.57,9.4
24.65,3882,-159,24.65,9.4
24.7,3783,-106,24.74,9.4
24.75,3722,-67,24.79,9.4
24.8,3709,-49,24.81,9.4
24.85,3701,-45,24.81,9.4
24.9,3657,-51,24.83,9.4
24.95,3645,-58,24.86,9.4
25,3624,-62,24.86,9.4
25.05,3613,-61,24.86,9.4
25.1,3610,-56,24.86,9.4
25.15,3587,-48,24.86,9.4
25.2,3560,-46,24.86,9.4
25.25,3524,-61,24.86,9.4
25.3,3489,-101,24.85,9.4
25.35,3460,-164,24.85,9.4
25.4,3478,-234,24.83,9.4
25.45,3549,-289,24.78,9.4
25.5,3646,-309,24.71,9.4
25.55,3742,-289,24.65,9.4
25.6,3794,-242,24.63,9.4
25.65,3816,-184,24.61,9.4
25.7,3780,-130,24.63,9.4
25.75,3730,-85,24.65,9.4
25.8,3705,-47,24.67,9.4
25.85,3644,-13,24.7,9.4
25.9,3573,16,24.72,9.4
25.95,3533,34,24.73,9.4
26,3515,38,24.75,9.4
26.05,3503,27,24.75,9.4
26.1,3495,7,24.75,9.4
26.15,3521,-18,24.75,9.4
26.2,3507,-40,24.75,9.4
26.25,3514,-60,24.75,9.4
26.3,3525,-76,24.75,9.4
26.35,3533,-92,24.74,9.4
26.4,3534,-109,24.75,9.4
26.45,3546,-130,24.73,9.4
26.5,3565,-154,24.71,9.4
26.55,3566,-177,24.71,9.4
26.6,3576,-192,24.7,9.4
26.65,3564,-196,24.7,9.4
26.7,3570,-188,24.68,9.4
26.75,3606,-169,24.65,9.4
26.8,3679,-146,24.58,9.4
26.85,3696,-122,24.57,9.4
26.9,3786,-100,24.53,9.4
26.95,3754,-83,24.56,9.4
27,3686,-70,24.61,9.4
27.05,3613,-61,24.65,9.4
27.1,3544,-53,24.7,9.4
27.15,3479,-47,24.75,9.4
27.2,3400,-42,24.75,9.4
27.25,3320,-43,24.78,9.4
27.3,3289,-50,24.78,9.4
27.35,3287,-64,24.78,9.4
27.4,3316,-84,24.77,9.4
27.45,3349,-107,24.77,9.4
27.5,3368,-131,24.76,9.4
27.55,3391,-155,24.75,9.4
27.6,3385,-180,24.76,9.4
27.65,3380,-203,24.75,9.4
27.7,3408,-222,24.73,9.4
27.75,3407,-234,24.73,9.4
27.8,3409,-235,24.71,9.4
27.85,3408,-222,24.71,9.4
27.9,3387,-198,24.71,9.4
27.95,3376,-165,24.7,9.4
28,3387,-132,24.68,9.4
28.05,3410,-108,24.66,9.4
28.1,3403,-91,24.65,9.4
28.15,3444,-83,24.65,9.4
28.2,3451,-75,24.64,9.4
28.25,3457,-63,24.65,9.4
28.3,3442,-44,24.65,9.4
28.35,3351,-16,24.7,9.4
28.4,3329,21,24.68,9.4
28.45,3319,65,24.67,9.4
28.5,3278,110,24.69,9.4
28.55,3216,149,24.68,9.4
28.6,3156,178,24.69,9.4
28.65,3123,194,24.7,9.4
28.7,3126,196,24.68,9.4
28.75,3169,190,24.69,9.4
28.8,3246,180,24.68,9.4
28.85,3340,170,24.65,9.4
28.9,3432,164,24.59,9.4
28.95,3480,162,24.55,9.4
29,3448,162,24.56,9.4
29.05,3384,160,24.58,9.4
29.1,3308,154,24.6,9.4
29.15,3234,135,24.61,9.4
29.2,3183,106,24.61,9.4
29.25,3182,66,24.6,9.4
29.3,3224,20,24.58,9.4
29.35,3334,-22,24.53,9.4
29.4,3467,-56,24.45,9.4
29.45,3603,-76,24.37,9.4
29.5,3704,-80,24.3,9.4
29.55,3775,-70,24.23,9.4
29.6,3812,-52,24.19,9.4
29.65,3805,-37,24.18,9.4
29.7,3789,-34,24.18,9.4
29.75,3751,-46,24.18,9.4
29.8,3716,-71,24.19,9.4
29.85,3697,-99,24.21,9.4
29.9,3694,-118,24.21,9.4
29.95,3701,-116,24.19,9.4
30,3716,-83,24.18,9.4
30.05,3741,-20,24.16,9.4
30.1,3755,62,24.16,9.4
30.15,3709,135,24.22,9.4
30.2,3585,170,24.3,9.4
30.25,3451,146,24.39,9.4
30.3,3308,62,24.47,9.4
30.35,3193,-58,24.54,9.4
30.4,3109,-183,24.58,9.4
30.45,3062,-287,24.59,9.4
30.5,3056,-357,24.58,9.4
30.55,3070,-392,24.58,9.4
30.6,3091,-401,24.58,9.4
30.65,3112,-391,24.57,9.4
30.7,3123,-372,24.56,9.4
30.75,3141,-349,24.55,9.4
30.8,3108,-328,24.53,9.4
30.85,3144,-313,24.51,9.4
30.9,3170,-307,24.48,9.4
30.95,3194,-308,24.44,9.4
31,3244,-309,24.36,9.4
31.05,3415,-302,24.23,9.4
31.1,3597,-277,24.11,9.4
31.15,3744,-227,24.05,9.4
31.2,3702,-154,24.13,9.4
31.25,3466,-62,24.3,9.4
31.3,3175,35,24.44,9.4
31.35,3007,121,24.49,9.4
31.4,2931,177,24.49,9.4
31.45,2920,191,24.49,9.4
31.5,2954,164,24.49,9.4
31.55,2987,107,24.47,9.4
31.6,3020,38,24.46,9.4
31.65,3050,-24,24.45,9.4
31.7,3085,-75,24.43,9.4
31.75,3092,-113,24.41,9.4
31.8,3118,-143,24.38,9.4
31.85,3125,-168,24.35,9.4
31.9,3103,-195,24.34,9.4
31.95,3097,-230,24.32,9.4
32,3106,-279,24.29,9.4
32.05,3139,-332,24.26,9.4
32.1,3181,-365,24.22,9.4
32.15,3238,-353,24.16,9.4
32.2,3306,-285,24.1,9.4
32.25,3393,-177,24.02,9.4
32.3,3496,-65,23.97,9.4
32.35,3594,18,23.92,9.4
32.4,3584,56,23.97,9.4
32.45,3498,53,24.05,9.4
32.5,3276,27,24.22,9.4
32.55,3086,-3,24.35,9.4
32.6,3020,-29,24.41,9.4
32.65,2974,-48,24.41,9.4
32.7,2904,-60,24.39,9.4
32.75,2817,-66,24.39,9.4
32.8,2786,-70,24.38,9.4
32.85,2805,-73,24.38,9.4
32.9,2814,-76,24.38,9.4
32.95,2779,-81,24.38,9.4
33,2761,-91,24.38,9.4
33.05,2744,-101,24.39,9.4
33.1,2792,-114,24.37,9.4
33.15,2948,-127,24.32,9.4
33.2,3139,-142,24.22,9.4
33.25,3232,-159,24.14,9.4
33.3,3220,-177,24.12,9.4
33.35,3137,-191,24.13,9.4
33.4,3069,-193,24.16,9.4
33.45,2986,-182,24.22,9.4
33.5,2958,-156,24.24,9.4
33.55,2948,-115,24.25,9.4
33.6,2934,-55,24.26,9.4
33.65,2955,14,24.25,9.4
33.7,2956,82,24.26,9.4
33.75,2987,131,24.26,9.4
33.8,2974,139,24.27,9.4
33.85,2962,116,24.26,9.4
33.9,2953,73,24.26,9.4
33.95,2950,24,24.25,9.4
34,2933,-19,24.24,9.4
34.05,2952,-60,24.23,9.4
34.1,2979,-104,24.18,9.4
34.15,3066,-150,24.02,9.4
34.2,3083,-190,24.09,9.4
34.25,3161,-217,24.05,9.4
34.3,3174,-224,24.05,9.4
34.35,3170,-216,24.08,9.4
34.4,3076,-199,24.15,9.4
34.45,2957,-180,24.23,9.4
34.5,2865,-167,24.28,9.4
34.55,2853,-161,24.3,9.4
34.6,2884,-160,24.26,9.4
34.65,3105,-163,24.04,9.4
34.7,3349,-166,23.86,9.4
34.75,3169,-169,23.99,9.4
34.8,3015,-168,24.15,9.4
34.85,2934,-164,24.22,9.4
34.9,2805,-160,24.27,9.4
34.95,2704,-157,24.28,9.4
35,2646,-159,24.28,9.4
35.05,2631,-165,24.28,9.4
35.1,2669,-175,24.28,9.4
35.15,2703,-184,24.28,9.4
35.2,2721,-184,24.28,9.4
35.25,2736,-171,24.24,9.4
35.3,2716,-139,24.23,9.4
35.35,2674,-90,24.23,9.4
35.4,2661,-36,24.23,9.4
35.45,2655,7,24.23,9.4
35.5,2642,16,24.23,9.4
35.55,2640,-22,24.22,9.4
35.6,2637,-96,24.21,9.4
35.65,2634,-183,24.2,9.4
35.7,2631,-254,24.21,9.4
35.75,2639,-280,24.2,9.4
35.8,2642,-267,24.2,9.4
35.85,2642,-228,24.19,9.4
35.9,2650,-176,24.19,9.4
35.95,2654,-133,24.19,9.4
36,2646,-104,24.19,9.4
36.05,2645,-89,24.19,9.4
36.1,2663,-88,24.18,9.4
36.15,2712,-96,24.13,9.4
36.2,2769,-104,24.09,9.4
36.25,2844,-109,24.02,9.4
36.3,2935,-109,23.97,9.4
36.35,3020,-107,23.91,9.4
36.4,3082,-105,23.86,9.4
36.45,3054,-105,23.87,9.4
36.5,2956,-108,23.93,9.4
36.55,2802,-111,24.01,9.4
36.6,2680,-113,24.07,9.4
36.65,2582,-112,24.1,9.4
36.7,2513,-106,24.12,9.4
36.75,2477,-96,24.13,9.4
36.8,2470,-85,24.11,9.4
36.85,2478,-75,24.11,9.4
36.9,2487,-67,24.09,9.4
36.95,2498,-64,24.09,9.4
37,2508,-65,24.08,9.4
37.05,2512,-70,24.07,9.4
37.1,2510,-82,24.06,9.4
37.15,2506,-102,24.05,9.4
37.2,2499,-131,24.04,9.4
37.25,2489,-169,24.04,9.4
37.3,2481,-210,24.03,9.4
37.35,2468,-245,24.02,9.4
37.4,2453,-264,24.02,9.4
37.45,2438,-263,24.02,9.4
37.5,2420,-240,24,9.4
37.55,2405,-203,24,9.4
37.6,2399,-161,23.99,9.4
37.65,2410,-122,23.97,9.4
37.7,2446,-92,23.97,9.4
37.75,2487,-73,23.96,9.4
37.8,2505,-64,23.96,9.4
37.85,2532,-62,23.96,9.4
37.9,2530,-64,23.94,9.4
37.95,2537,-67,23.92,9.4
38,2523,-68,23.92,9.4
38.05,2519,-69,23.9,9.4
38.1,2529,-68,23.89,9.4
38.15,2553,-66,23.89,9.4
38.2,2551,-64,23.89,9.4
38.25,2503,-59,23.9,9.4
38.3,2491,-52,23.91,9.4
38.35,2495,-43,23.9,9.4
38.4,2472,-31,23.9,9.4
38.45,2444,-19,23.89,9.4
38.5,2413,-7,23.89,9.4
38.55,2379,2,23.89,9.4
38.6,2368,5,23.88,9.4
38.65,2367,1,23.87,9.4
38.7,2364,-9,23.87,9.4
38.75,2365,-23,23.86,9.4
38.8,2364,-37,23.86,9.4
38.85,2361,-50,23.86,9.4
38.9,2358,-59,23.86,9.4
38.95,2370,-65,23.84,9.4
39,2378,-70,23.82,9.4
39.05,2380,-78,23.81,9.4
39.1,2374,-88,23.81,9.4
39.15,2370,-98,23.81,9.4
39.2,2367,-106,23.8,9.4
39.25,2372,-108,23.79,9.4
39.3,2376,-105,23.79,9.4
39.35,2389,-96,23.77,9.4
39.4,2403,-83,23.77,9.4
39.45,2416,-71,23.76,9.4
39.5,2416,-64,23.74,9.4
39.55,2431,-63,23.72,9.4
39.6,2444,-67,23.7,9.4
39.65,2442,-70,23.67,9.4
39.7,2427,-68,23.67,9.4
39.75,2430,-59,23.66,9.4
39.8,2435,-45,23.65,9.4
39.85,2392,-29,23.66,9.4
39.9,2389,-12,23.66,9.4
39.95,2417,2,23.64,9.4
40,2391,16,23.64,9.4
40.05,2363,28,23.66,9.4
40.1,2336,39,23.66,9.4
40.15,2315,46,23.68,9.4
40.2,2300,44,23.68,9.4
40.25,2273,30,23.7,9.4
