Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total acceleration (ft/s²),Mass (oz),Propellant mass (oz),Thrust (N),Drag force (N),Drag coefficient (​)
11.114,4337.9,204.05,-35.847,35.847,740.59,0,0,23.894,0.59106
11.124,4340,203.69,-35.833,35.833,740.59,0,0,23.808,0.59104
11.134,4342,203.33,-35.82,35.82,740.59,0,0,23.722,0.59103
11.144,4344,202.97,-35.807,35.807,740.59,0,0,23.636,0.59101
11.154,4346.1,202.62,-35.793,35.793,740.59,0,0,23.551,0.59099
11.164,4348.1,202.26,-35.78,35.78,740.59,0,0,23.465,0.59097
11.174,4350.1,201.9,-35.767,35.767,740.59,0,0,23.38,0.59095
11.184,4352.1,201.54,-35.753,35.753,740.59,0,0,23.295,0.59094
11.194,4354.2,201.19,-35.74,35.74,740.59,0,0,23.211,0.59092
11.204,4356.2,200.83,-35.727,35.727,740.59,0,0,23.126,0.5909
11.214,4358.2,200.47,-35.714,35.714,740.59,0,0,23.042,0.59088
11.224,4360.2,200.11,-35.701,35.701,740.59,0,0,22.958,0.59087
11.234,4362.2,199.76,-35.687,35.687,740.59,0,0,22.874,0.59085
11.244,4364.2,199.4,-35.674,35.674,740.59,0,0,22.79,0.59083
11.254,4366.2,199.04,-35.661,35.661,740.59,0,0,22.707,0.59081
11.264,4368.1,198.69,-35.648,35.648,740.59,0,0,22.623,0.5908
11.274,4370.1,198.33,-35.635,35.635,740.59,0,0,22.54,0.59078
11.284,4372.1,197.97,-35.622,35.622,740.59,0,0,22.457,0.59076
11.294,4374.1,197.62,-35.609,35.609,740.59,0,0,22.375,0.59074
11.304,4376.1,197.26,-35.597,35.597,740.59,0,0,22.292,0.59073
11.314,4378,196.91,-35.584,35.584,740.59,0,0,22.21,0.59071
11.324,4380,196.55,-35.571,35.571,740.59,0,0,22.128,0.59069
11.334,4382,196.19,-35.558,35.558,740.59,0,0,22.046,0.59067
11.344,4383.9,195.84,-35.545,35.545,740.59,0,0,21.964,0.59066
11.354,4385.9,195.48,-35.532,35.532,740.59,0,0,21.882,0.59064
11.364,4387.8,195.13,-35.52,35.52,740.59,0,0,21.801,0.59062
11.374,4389.8,194.77,-35.507,35.507,740.59,0,0,21.72,0.59061
11.384,4391.7,194.42,-35.494,35.494,740.59,0,0,21.639,0.59059
11.394,4393.7,194.06,-35.482,35.482,740.59,0,0,21.558,0.59057
11.404,4395.6,193.71,-35.469,35.469,740.59,0,0,21.477,0.59056
11.414,4397.5,193.35,-35.457,35.457,740.59,0,0,21.397,0.59054
11.424,4399.5,193,-35.444,35.444,740.59,0,0,21.317,0.59052
11.434,4401.4,192.65,-35.431,35.431,740.59,0,0,21.237,0.5905
11.444,4403.3,192.29,-35.419,35.419,740.59,0,0,21.157,0.59049
11.454,4405.3,191.94,-35.407,35.407,740.59,0,0,21.077,0.59047
11.464,4407.2,191.58,-35.394,35.394,740.59,0,0,20.997,0.59045
11.474,4409.1,191.23,-35.382,35.382,740.59,0,0,20.918,0.59044
11.484,4411,190.88,-35.369,35.369,740.59,0,0,20.839,0.59042
11.494,4412.9,190.52,-35.357,35.357,740.59,0,0,20.76,0.5904
11.504,4414.8,190.17,-35.345,35.345,740.59,0,0,20.681,0.59039
11.514,4416.7,189.81,-35.332,35.332,740.59,0,0,20.603,0.59037
11.524,4418.6,189.46,-35.32,35.32,740.59,0,0,20.524,0.59036
11.534,4420.5,189.11,-35.308,35.308,740.59,0,0,20.446,0.59034
11.544,4422.4,188.76,-35.296,35.296,740.59,0,0,20.368,0.59032
11.554,4424.3,188.4,-35.284,35.284,740.59,0,0,20.29,0.59031
11.564,4426.2,188.05,-35.271,35.271,740.59,0,0,20.213,0.59029
11.574,4428,187.7,-35.259,35.259,740.59,0,0,20.135,0.59027
11.584,4429.9,187.34,-35.247,35.247,740.59,0,0,20.058,0.59026
11.594,4431.8,186.99,-35.235,35.235,740.59,0,0,19.981,0.59024
11.604,4433.6,186.64,-35.223,35.223,740.59,0,0,19.904,0.59022
11.614,4435.5,186.29,-35.211,35.211,740.59,0,0,19.827,0.59021
11.624,4437.4,185.94,-35.199,35.199,740.59,0,0,19.751,0.59019
11.634,4439.2,185.58,-35.187,35.187,740.59,0,0,19.674,0.59018
11.644,4441.1,185.23,-35.175,35.175,740.59,0,0,19.598,0.59016
11.654,4442.9,184.88,-35.163,35.163,740.59,0,0,19.522,0.59014
11.664,4444.8,184.53,-35.152,35.152,740.59,0,0,19.446,0.59013
11.674,4446.6,184.18,-35.14,35.14,740.59,0,0,19.371,0.59011
11.684,4448.5,183.83,-35.128,35.128,740.59,0,0,19.295,0.5901
11.694,4450.3,183.47,-35.116,35.116,740.59,0,0,19.22,0.59008
11.704,4452.1,183.12,-35.104,35.104,740.59,0,0,19.145,0.59006
11.714,4454,182.77,-35.093,35.093,740.59,0,0,19.07,0.59005
11.724,4455.8,182.42,-35.081,35.081,740.59,0,0,18.995,0.59003
11.734,4457.6,182.07,-35.069,35.069,740.59,0,0,18.921,0.59002
11.744,4459.4,181.72,-35.058,35.058,740.59,0,0,18.847,0.59
11.754,4461.2,181.37,-35.046,35.046,740.59,0,0,18.772,0.58999
11.764,4463.1,181.02,-35.035,35.035,740.59,0,0,18.698,0.58997
11.774,4464.9,180.67,-35.023,35.023,740.59,0,0,18.625,0.58995
11.784,4466.7,180.32,-35.012,35.012,740.59,0,0,18.551,0.58994
11.794,4468.5,179.97,-35,35,740.59,0,0,18.477,0.58992
11.804,4470.3,179.62,-34.989,34.989,740.59,0,0,18.404,0.58991
11.814,4472.1,179.27,-34.977,34.977,740.59,0,0,18.331,0.58989
11.824,4473.9,178.92,-34.966,34.966,740.59,0,0,18.258,0.58988
11.834,4475.6,178.57,-34.954,34.954,740.59,0,0,18.185,0.58986
11.844,4477.4,178.22,-34.943,34.943,740.59,0,0,18.113,0.58985
11.854,4479.2,177.87,-34.932,34.932,740.59,0,0,18.04,0.58983
11.864,4481,177.52,-34.921,34.921,740.59,0,0,17.968,0.58981
11.874,4482.8,177.17,-34.909,34.909,740.59,0,0,17.896,0.5898
11.884,4484.5,176.82,-34.898,34.898,740.59,0,0,17.824,0.58978
11.894,4486.3,176.47,-34.887,34.887,740.59,0,0,17.753,0.58977
11.904,4488.1,176.13,-34.876,34.876,740.59,0,0,17.681,0.58975
11.914,4489.8,175.78,-34.864,34.864,740.59,0,0,17.61,0.58974
11.924,4491.6,175.43,-34.853,34.853,740.59,0,0,17.539,0.58972
11.934,4493.3,175.08,-34.842,34.842,740.59,0,0,17.468,0.58971
11.944,4495.1,174.73,-34.831,34.831,740.59,0,0,17.397,0.58969
11.954,4496.8,174.38,-34.82,34.82,740.59,0,0,17.326,0.58968
11.964,4498.6,174.04,-34.809,34.809,740.59,0,0,17.256,0.58966
11.974,4500.3,173.69,-34.798,34.798,740.59,0,0,17.185,0.58965
11.984,4502,173.34,-34.787,34.787,740.59,0,0,17.115,0.58963
11.994,4503.8,172.99,-34.776,34.776,740.59,0,0,17.045,0.58962
12.004,4505.5,172.64,-34.765,34.765,740.59,0,0,16.976,0.5896
12.014,4507.2,172.3,-34.754,34.754,740.59,0,0,16.906,0.58959
12.024,4508.9,171.95,-34.744,34.744,740.59,0,0,16.836,0.58957
12.034,4510.7,171.6,-34.733,34.733,740.59,0,0,16.767,0.58956
12.044,4512.4,171.25,-34.722,34.722,740.59,0,0,16.698,0.58955
12.054,4514.1,170.91,-34.711,34.711,740.59,0,0,16.629,0.58953
12.064,4515.8,170.56,-34.7,34.7,740.59,0,0,16.56,0.58952
12.074,4517.5,170.21,-34.69,34.69,740.59,0,0,16.492,0.5895
12.084,4519.2,169.87,-34.679,34.679,740.59,0,0,16.423,0.58949
12.094,4520.9,169.52,-34.668,34.668,740.59,0,0,16.355,0.58947
12.104,4522.6,169.17,-34.658,34.658,740.59,0,0,16.287,0.58946
12.114,4524.3,168.83,-34.647,34.647,740.59,0,0,16.219,0.58944
12.124,4526,168.48,-34.636,34.636,740.59,0,0,16.152,0.58943
12.134,4527.6,168.13,-34.626,34.626,740.59,0,0,16.084,0.58941
12.144,4529.3,167.79,-34.615,34.615,740.59,0,0,16.017,0.5894
12.154,4531,167.44,-34.605,34.605,740.59,0,0,15.949,0.58939
12.164,4532.7,167.1,-34.594,34.594,740.59,0,0,15.882,0.58937
12.174,4534.3,166.75,-34.584,34.584,740.59,0,0,15.815,0.58936
12.184,4536,166.4,-34.574,34.574,740.59,0,0,15.749,0.58934
12.194,4537.7,166.06,-34.563,34.563,740.59,0,0,15.682,0.58933
12.204,4539.3,165.71,-34.553,34.553,740.59,0,0,15.616,0.58931
12.214,4541,165.37,-34.542,34.542,740.59,0,0,15.55,0.5893
12.224,4542.6,165.02,-34.532,34.532,740.59,0,0,15.484,0.58929
12.234,4544.3,164.68,-34.522,34.522,740.59,0,0,15.418,0.58927
12.244,4545.9,164.33,-34.511,34.511,740.59,0,0,15.352,0.58926
12.254,4547.6,163.99,-34.501,34.501,740.59,0,0,15.287,0.58924
12.264,4549.2,163.64,-34.491,34.491,740.59,0,0,15.221,0.58923
12.274,4550.8,163.3,-34.481,34.481,740.59,0,0,15.156,0.58922
12.284,4552.5,162.95,-34.471,34.471,740.59,0,0,15.091,0.5892
12.294,4554.1,162.61,-34.461,34.461,740.59,0,0,15.026,0.58919
12.304,4555.7,162.26,-34.45,34.45,740.59,0,0,14.961,0.58917
12.314,4557.4,161.92,-34.44,34.44,740.59,0,0,14.897,0.58916
12.324,4559,161.57,-34.43,34.43,740.59,0,0,14.832,0.58915
12.334,4560.6,161.23,-34.42,34.42,740.59,0,0,14.768,0.58913
12.344,4562.2,160.88,-34.41,34.41,740.59,0,0,14.704,0.58912
12.354,4563.8,160.54,-34.4,34.4,740.59,0,0,14.64,0.58911
12.364,4565.4,160.2,-34.39,34.39,740.59,0,0,14.577,0.58909
12.374,4567,159.85,-34.38,34.38,740.59,0,0,14.513,0.58908
12.384,4568.6,159.51,-34.37,34.37,740.59,0,0,14.45,0.58907
12.394,4570.2,159.17,-34.361,34.361,740.59,0,0,14.386,0.58905
12.404,4571.8,158.82,-34.351,34.351,740.59,0,0,14.323,0.58904
12.414,4573.4,158.48,-34.341,34.341,740.59,0,0,14.26,0.58903
12.424,4575,158.14,-34.331,34.331,740.59,0,0,14.198,0.58901
12.434,4576.5,157.79,-34.321,34.321,740.59,0,0,14.135,0.589
12.444,4578.1,157.45,-34.311,34.311,740.59,0,0,14.073,0.58898
12.454,4579.7,157.11,-34.302,34.302,740.59,0,0,14.01,0.58897
12.464,4581.3,156.76,-34.292,34.292,740.59,0,0,13.948,0.58896
12.474,4582.8,156.42,-34.282,34.282,740.59,0,0,13.886,0.58895
12.484,4584.4,156.08,-34.273,34.273,740.59,0,0,13.825,0.58893
12.494,4585.9,155.73,-34.263,34.263,740.59,0,0,13.763,0.58892
12.504,4587.5,155.39,-34.253,34.253,740.59,0,0,13.702,0.58891
12.514,4589,155.05,-34.244,34.244,740.59,0,0,13.64,0.58889
12.524,4590.6,154.71,-34.234,34.234,740.59,0,0,13.579,0.58888
12.534,4592.1,154.36,-34.225,34.225,740.59,0,0,13.518,0.58887
12.544,4593.7,154.02,-34.215,34.215,740.59,0,0,13.457,0.58885
12.554,4595.2,153.68,-34.206,34.206,740.59,0,0,13.397,0.58884
12.564,4596.8,153.34,-34.196,34.196,740.59,0,0,13.336,0.58883
12.574,4598.3,153,-34.187,34.187,740.59,0,0,13.276,0.58881
12.584,4599.8,152.65,-34.177,34.178,740.59,0,0,13.216,0.5888
12.594,4601.3,152.31,-34.168,34.168,740.59,0,0,13.156,0.58879
12.604,4602.9,151.97,-34.159,34.159,740.59,0,0,13.096,0.58878
12.614,4604.4,151.63,-34.149,34.149,740.59,0,0,13.036,0.58876
12.624,4605.9,151.29,-34.14,34.14,740.59,0,0,12.977,0.58875
12.634,4607.4,150.95,-34.131,34.131,740.59,0,0,12.917,0.58874
12.644,4608.9,150.61,-34.122,34.122,740.59,0,0,12.858,0.58872
12.654,4610.4,150.26,-34.112,34.112,740.59,0,0,12.799,0.58871
12.664,4611.9,149.92,-34.103,34.103,740.59,0,0,12.74,0.5887
12.674,4613.4,149.58,-34.094,34.094,740.59,0,0,12.681,0.58869
12.684,4614.9,149.24,-34.085,34.085,740.59,0,0,12.623,0.58867
12.694,4616.4,148.9,-34.076,34.076,740.59,0,0,12.564,0.58866
12.704,4617.9,148.56,-34.067,34.067,740.59,0,0,12.506,0.58865
12.714,4619.4,148.22,-34.057,34.057,740.59,0,0,12.448,0.58864
12.724,4620.9,147.88,-34.048,34.048,740.59,0,0,12.39,0.58862
12.734,4622.3,147.54,-34.039,34.039,740.59,0,0,12.332,0.58861
12.744,4623.8,147.2,-34.03,34.03,740.59,0,0,12.275,0.5886
12.754,4625.3,146.86,-34.021,34.021,740.59,0,0,12.217,0.58859
12.764,4626.7,146.52,-34.012,34.012,740.59,0,0,12.16,0.58857
12.774,4628.2,146.18,-34.003,34.003,740.59,0,0,12.103,0.58856
12.784,4629.7,145.84,-33.995,33.995,740.59,0,0,12.046,0.58855
12.794,4631.1,145.5,-33.986,33.986,740.59,0,0,11.989,0.58854
12.804,4632.6,145.16,-33.977,33.977,740.59,0,0,11.932,0.58853
12.814,4634,144.82,-33.968,33.968,740.59,0,0,11.875,0.58851
12.824,4635.5,144.48,-33.959,33.959,740.59,0,0,11.819,0.5885
12.834,4636.9,144.14,-33.95,33.95,740.59,0,0,11.763,0.58849
12.844,4638.4,143.8,-33.942,33.942,740.59,0,0,11.707,0.58848
12.854,4639.8,143.46,-33.933,33.933,740.59,0,0,11.651,0.58847
12.864,4641.2,143.12,-33.924,33.924,740.59,0,0,11.595,0.58845
12.874,4642.7,142.78,-33.915,33.915,740.59,0,0,11.539,0.58844
12.884,4644.1,142.44,-33.907,33.907,740.59,0,0,11.484,0.58843
12.894,4645.5,142.1,-33.898,33.898,740.59,0,0,11.428,0.58842
12.904,4646.9,141.76,-33.889,33.889,740.59,0,0,11.373,0.58841
12.914,4648.3,141.43,-33.881,33.881,740.59,0,0,11.318,0.58839
12.924,4649.8,141.09,-33.872,33.872,740.59,0,0,11.263,0.58838
12.934,4651.2,140.75,-33.864,33.864,740.59,0,0,11.209,0.58837
12.944,4652.6,140.41,-33.855,33.855,740.59,0,0,11.154,0.58836
12.954,4654,140.07,-33.847,33.847,740.59,0,0,11.1,0.58835
12.964,4655.4,139.73,-33.838,33.838,740.59,0,0,11.045,0.58833
12.974,4656.8,139.39,-33.83,33.83,740.59,0,0,10.991,0.58832
12.984,4658.2,139.06,-33.821,33.821,740.59,0,0,10.937,0.58831
12.994,4659.5,138.72,-33.813,33.813,740.59,0,0,10.884,0.5883
13.004,4660.9,138.38,-33.804,33.804,740.59,0,0,10.83,0.58829
13.014,4662.3,138.04,-33.796,33.796,740.59,0,0,10.776,0.58828
13.024,4663.7,137.7,-33.788,33.788,740.59,0,0,10.723,0.58827
13.034,4665.1,137.37,-33.779,33.779,740.59,0,0,10.67,0.58825
13.044,4666.4,137.03,-33.771,33.771,740.59,0,0,10.617,0.58824
13.054,4667.8,136.69,-33.763,33.763,740.59,0,0,10.564,0.58823
13.064,4669.2,136.35,-33.755,33.755,740.59,0,0,10.511,0.58822
13.074,4670.5,136.02,-33.746,33.746,740.59,0,0,10.458,0.58821
13.084,4671.9,135.68,-33.738,33.738,740.59,0,0,10.406,0.5882
13.094,4673.2,135.34,-33.73,33.73,740.59,0,0,10.354,0.58819
13.104,4674.6,135,-33.722,33.722,740.59,0,0,10.301,0.58817
13.114,4675.9,134.67,-33.714,33.714,740.59,0,0,10.249,0.58816
13.124,4677.3,134.33,-33.706,33.706,740.59,0,0,10.198,0.58815
13.134,4678.6,133.99,-33.698,33.698,740.59,0,0,10.146,0.58814
13.144,4680,133.66,-33.689,33.689,740.59,0,0,10.094,0.58813
13.154,4681.3,133.32,-33.681,33.681,740.59,0,0,10.043,0.58812
13.164,4682.6,132.98,-33.673,33.673,740.59,0,0,9.9916,0.58811
13.174,4684,132.64,-33.665,33.665,740.59,0,0,9.9405,0.5881
13.184,4685.3,132.31,-33.657,33.657,740.59,0,0,9.8895,0.58808
13.194,4686.6,131.97,-33.65,33.65,740.59,0,0,9.8387,0.58807
13.204,4687.9,131.64,-33.642,33.642,740.59,0,0,9.788,0.58806
13.214,4689.2,131.3,-33.634,33.634,740.59,0,0,9.7375,0.58805
13.224,4690.6,130.96,-33.626,33.626,740.59,0,0,9.6871,0.58804
13.234,4691.9,130.63,-33.618,33.618,740.59,0,0,9.6368,0.58803
13.244,4693.2,130.29,-33.61,33.61,740.59,0,0,9.5867,0.58802
13.254,4694.5,129.95,-33.602,33.602,740.59,0,0,9.5368,0.58801
13.264,4695.8,129.62,-33.595,33.595,740.59,0,0,9.487,0.588
13.274,4697.1,129.28,-33.587,33.587,740.59,0,0,9.4373,0.58799
13.284,4698.4,128.95,-33.579,33.579,740.59,0,0,9.3878,0.58798
13.294,4699.6,128.61,-33.571,33.571,740.59,0,0,9.3385,0.58797
13.304,4700.9,128.28,-33.564,33.564,740.59,0,0,9.2892,0.58795
13.314,4702.2,127.94,-33.556,33.556,740.59,0,0,9.2402,0.58794
13.324,4703.5,127.6,-33.548,33.548,740.59,0,0,9.1912,0.58793
13.334,4704.8,127.27,-33.541,33.541,740.59,0,0,9.1425,0.58792
13.344,4706,126.93,-33.533,33.533,740.59,0,0,9.0938,0.58791
13.354,4707.3,126.6,-33.525,33.525,740.59,0,0,9.0453,0.5879
13.364,4708.6,126.26,-33.518,33.518,740.59,0,0,8.997,0.58789
13.374,4709.8,125.93,-33.51,33.51,740.59,0,0,8.9488,0.58788
13.384,4711.1,125.59,-33.503,33.503,740.59,0,0,8.9007,0.58787
13.394,4712.3,125.26,-33.495,33.495,740.59,0,0,8.8528,0.58786
13.404,4713.6,124.92,-33.488,33.488,740.59,0,0,8.805,0.58785
13.414,4714.8,124.59,-33.48,33.48,740.59,0,0,8.7574,0.58784
13.424,4716.1,124.25,-33.473,33.473,740.59,0,0,8.7099,0.58783
13.434,4717.3,123.92,-33.466,33.466,740.59,0,0,8.6626,0.58782
13.444,4718.6,123.58,-33.458,33.458,740.59,0,0,8.6154,0.58781
13.454,4719.8,123.25,-33.451,33.451,740.59,0,0,8.5683,0.5878
13.464,4721,122.91,-33.444,33.444,740.59,0,0,8.5214,0.58779
13.474,4722.2,122.58,-33.436,33.436,740.59,0,0,8.4746,0.58778
13.484,4723.5,122.25,-33.429,33.429,740.59,0,0,8.428,0.58777
13.494,4724.7,121.91,-33.422,33.422,740.59,0,0,8.3815,0.58776
13.504,4725.9,121.58,-33.414,33.414,740.59,0,0,8.3352,0.58775
13.514,4727.1,121.24,-33.407,33.407,740.59,0,0,8.289,0.58774
13.524,4728.3,120.91,-33.4,33.4,740.59,0,0,8.2429,0.58773
13.534,4729.5,120.58,-33.393,33.393,740.59,0,0,8.197,0.58772
13.544,4730.7,120.24,-33.386,33.386,740.59,0,0,8.1512,0.58771
13.554,4731.9,119.91,-33.379,33.379,740.59,0,0,8.1056,0.5877
13.564,4733.1,119.57,-33.371,33.371,740.59,0,0,8.0601,0.58769
13.574,4734.3,119.24,-33.364,33.364,740.59,0,0,8.0147,0.58768
13.584,4735.5,118.91,-33.357,33.357,740.59,0,0,7.9695,0.58767
13.594,4736.7,118.57,-33.35,33.35,740.59,0,0,7.9244,0.58766
13.604,4737.9,118.24,-33.343,33.343,740.59,0,0,7.8795,0.58765
13.614,4739.1,117.91,-33.336,33.336,740.59,0,0,7.8347,0.58764
13.624,4740.3,117.57,-33.329,33.329,740.59,0,0,7.7901,0.58763
13.634,4741.4,117.24,-33.322,33.322,740.59,0,0,7.7456,0.58762
13.644,4742.6,116.91,-33.315,33.315,740.59,0,0,7.7012,0.58761
13.654,4743.8,116.57,-33.308,33.308,740.59,0,0,7.657,0.5876
13.664,4744.9,116.24,-33.302,33.302,740.59,0,0,7.6129,0.58759
13.674,4746.1,115.91,-33.295,33.295,740.59,0,0,7.5689,0.58758
13.684,4747.3,115.57,-33.288,33.288,740.59,0,0,7.5251,0.58757
13.694,4748.4,115.24,-33.281,33.281,740.59,0,0,7.4815,0.58756
13.704,4749.6,114.91,-33.274,33.274,740.59,0,0,7.4379,0.58755
13.714,4750.7,114.58,-33.267,33.267,740.59,0,0,7.3945,0.58754
13.724,4751.9,114.24,-33.261,33.261,740.59,0,0,7.3513,0.58753
13.734,4753,113.91,-33.254,33.254,740.59,0,0,7.3082,0.58752
13.744,4754.1,113.58,-33.247,33.247,740.59,0,0,7.2652,0.58752
13.754,4755.3,113.25,-33.24,33.24,740.59,0,0,7.2224,0.58751
13.764,4756.4,112.91,-33.234,33.234,740.59,0,0,7.1797,0.5875
13.774,4757.5,112.58,-33.227,33.227,740.59,0,0,7.1371,0.58749
13.784,4758.6,112.25,-33.221,33.221,740.59,0,0,7.0947,0.58748
13.794,4759.8,111.92,-33.214,33.214,740.59,0,0,7.0524,0.58747
13.804,4760.9,111.58,-33.207,33.207,740.59,0,0,7.0103,0.58746
13.814,4762,111.25,-33.201,33.201,740.59,0,0,6.9683,0.58745
13.824,4763.1,110.92,-33.194,33.194,740.59,0,0,6.9264,0.58744
13.834,4764.2,110.59,-33.188,33.188,740.59,0,0,6.8847,0.58743
13.844,4765.3,110.26,-33.181,33.181,740.59,0,0,6.8431,0.58742
13.854,4766.4,109.93,-33.175,33.175,740.59,0,0,6.8016,0.58741
13.864,4767.5,109.59,-33.168,33.168,740.59,0,0,6.7603,0.58741
13.874,4768.6,109.26,-33.162,33.162,740.59,0,0,6.7191,0.5874
13.884,4769.7,108.93,-33.155,33.155,740.59,0,0,6.6781,0.58739
13.894,4770.8,108.6,-33.149,33.149,740.59,0,0,6.6372,0.58738
13.904,4771.9,108.27,-33.143,33.143,740.59,0,0,6.5964,0.58737
13.914,4773,107.94,-33.136,33.136,740.59,0,0,6.5557,0.58736
13.924,4774,107.6,-33.13,33.13,740.59,0,0,6.5152,0.58735
13.934,4775.1,107.27,-33.124,33.124,740.59,0,0,6.4749,0.58734
13.944,4776.2,106.94,-33.117,33.117,740.59,0,0,6.4346,0.58733
13.954,4777.2,106.61,-33.111,33.111,740.59,0,0,6.3945,0.58733
13.964,4778.3,106.28,-33.105,33.105,740.59,0,0,6.3546,0.58732
13.974,4779.4,105.95,-33.099,33.099,740.59,0,0,6.3148,0.58731
13.984,4780.4,105.62,-33.092,33.092,740.59,0,0,6.2751,0.5873
13.994,4781.5,105.29,-33.086,33.086,740.59,0,0,6.2355,0.58729
14.004,4782.5,104.96,-33.08,33.08,740.59,0,0,6.1961,0.58728
14.014,4783.6,104.63,-33.074,33.074,740.59,0,0,6.1568,0.58727
14.024,4784.6,104.29,-33.068,33.068,740.59,0,0,6.1177,0.58726
14.034,4785.7,103.96,-33.062,33.062,740.59,0,0,6.0787,0.58726
14.044,4786.7,103.63,-33.056,33.056,740.59,0,0,6.0398,0.58725
14.054,4787.7,103.3,-33.05,33.05,740.59,0,0,6.0011,0.58724
14.064,4788.8,102.97,-33.043,33.043,740.59,0,0,5.9624,0.58723
14.074,4789.8,102.64,-33.037,33.037,740.59,0,0,5.924,0.58722
14.084,4790.8,102.31,-33.031,33.031,740.59,0,0,5.8856,0.58721
14.094,4791.9,101.98,-33.025,33.025,740.59,0,0,5.8474,0.58721
14.104,4792.9,101.65,-33.02,33.02,740.59,0,0,5.8093,0.5872
14.114,4793.9,101.32,-33.014,33.014,740.59,0,0,5.7714,0.58719
14.124,4794.9,100.99,-33.008,33.008,740.59,0,0,5.7336,0.58718
14.134,4795.9,100.66,-33.002,33.002,740.59,0,0,5.6959,0.58717
14.144,4796.9,100.33,-32.996,32.996,740.59,0,0,5.6584,0.58716
14.154,4797.9,100,-32.99,32.99,740.59,0,0,5.621,0.58716
14.164,4798.9,99.671,-32.984,32.984,740.59,0,0,5.5837,0.58715
14.174,4799.9,99.341,-32.978,32.978,740.59,0,0,5.5466,0.58714
14.184,4800.9,99.011,-32.973,32.973,740.59,0,0,5.5096,0.58713
14.194,4801.9,98.682,-32.967,32.967,740.59,0,0,5.4727,0.58712
14.204,4802.9,98.352,-32.961,32.961,740.59,0,0,5.436,0.58712
14.214,4803.9,98.023,-32.955,32.955,740.59,0,0,5.3993,0.58711
14.224,4804.8,97.693,-32.95,32.95,740.59,0,0,5.3629,0.5871
14.234,4805.8,97.364,-32.944,32.944,740.59,0,0,5.3265,0.58709
14.244,4806.8,97.034,-32.938,32.938,740.59,0,0,5.2903,0.58708
14.254,4807.7,96.705,-32.933,32.933,740.59,0,0,5.2542,0.58708
14.264,4808.7,96.375,-32.927,32.927,740.59,0,0,5.2183,0.58707
14.274,4809.7,96.046,-32.922,32.922,740.59,0,0,5.1825,0.58706
14.284,4810.6,95.717,-32.916,32.916,740.59,0,0,5.1468,0.58705
14.294,4811.6,95.388,-32.91,32.91,740.59,0,0,5.1112,0.58704
14.304,4812.5,95.059,-32.905,32.905,740.59,0,0,5.0758,0.58704
14.314,4813.5,94.73,-32.899,32.899,740.59,0,0,5.0405,0.58703
14.324,4814.4,94.401,-32.894,32.894,740.59,0,0,5.0054,0.58702
14.334,4815.4,94.072,-32.888,32.888,740.59,0,0,4.9703,0.58701
14.344,4816.3,93.743,-32.883,32.883,740.59,0,0,4.9354,0.58701
14.354,4817.3,93.414,-32.877,32.877,740.59,0,0,4.9007,0.587
14.364,4818.2,93.086,-32.872,32.872,740.59,0,0,4.866,0.58699
14.374,4819.1,92.757,-32.867,32.867,740.59,0,0,4.8315,0.58698
14.384,4820,92.428,-32.861,32.861,740.59,0,0,4.7972,0.58698
14.394,4821,92.1,-32.856,32.856,740.59,0,0,4.7629,0.58697
14.404,4821.9,91.771,-32.851,32.851,740.59,0,0,4.7288,0.58696
14.414,4822.8,91.443,-32.845,32.845,740.59,0,0,4.6948,0.58695
14.424,4823.7,91.114,-32.84,32.84,740.59,0,0,4.661,0.58695
14.434,4824.6,90.786,-32.835,32.835,740.59,0,0,4.6272,0.58694
14.444,4825.5,90.457,-32.829,32.829,740.59,0,0,4.5936,0.58693
14.454,4826.4,90.129,-32.824,32.824,740.59,0,0,4.5602,0.58692
14.464,4827.3,89.801,-32.819,32.819,740.59,0,0,4.5268,0.58692
14.474,4828.2,89.473,-32.814,32.814,740.59,0,0,4.4936,0.58691
14.484,4829.1,89.145,-32.809,32.809,740.59,0,0,4.4606,0.5869
14.494,4830,88.817,-32.804,32.804,740.59,0,0,4.4276,0.58689
14.504,4830.9,88.489,-32.798,32.798,740.59,0,0,4.3948,0.58689
14.514,4831.8,88.161,-32.793,32.793,740.59,0,0,4.3621,0.58688
14.524,4832.7,87.833,-32.788,32.788,740.59,0,0,4.3296,0.58687
14.534,4833.5,87.505,-32.783,32.783,740.59,0,0,4.2971,0.58687
14.544,4834.4,87.177,-32.778,32.778,740.59,0,0,4.2648,0.58686
14.554,4835.3,86.849,-32.773,32.773,740.59,0,0,4.2327,0.58685
14.564,4836.1,86.522,-32.768,32.768,740.59,0,0,4.2006,0.58684
14.574,4837,86.194,-32.763,32.763,740.59,0,0,4.1687,0.58684
14.584,4837.9,85.866,-32.758,32.758,740.59,0,0,4.1369,0.58683
14.594,4838.7,85.539,-32.753,32.753,740.59,0,0,4.1053,0.58682
14.604,4839.6,85.211,-32.748,32.748,740.59,0,0,4.0737,0.58682
14.614,4840.4,84.884,-32.743,32.743,740.59,0,0,4.0423,0.58681
14.624,4841.3,84.556,-32.738,32.738,740.59,0,0,4.011,0.5868
14.634,4842.1,84.229,-32.733,32.733,740.59,0,0,3.9799,0.5868
14.644,4843,83.902,-32.729,32.729,740.59,0,0,3.9489,0.58679
14.654,4843.8,83.575,-32.724,32.724,740.59,0,0,3.918,0.58678
